id,name
0,Savin Premier
1,Адмиралтейская Слобода ЖК
2,Весна
3,Вознесенский Квартал ЖК
4,Дом на Бирюзовой
5,Казань XXI век (II очередь)
6,Клубный дом Шаляпина XV
7,Комос на Тукая
8,Крыловка парк
9,Кью на Кулагина ЖК
10,Лаунж-дома Авторы на Большой
11,Легенда
12,Максат ЖК
13,Мой Ритм
14,Мой Ритм ЖК
15,Наследие
16,Не указано
17,Нестеровский
18,Новые острова
19,Паркмаяк ЖК
20,Савин Фемили ЖК
21,Садовое кольцо
22,Салават Купере
23,Светлая Долина ЖК
24,Сиберово
25,Статный
26,Счастье в Казани
27,Уно ЖК
28,Фермаполис
29,Шаляпин
30,Яналиф
31,Яратам ЖК
